







root:	 win_komis:1557328	 total_komis:3394546	 total_plays:69559
Node:4 6	win_komis:5023	 total_komis:10071	 total_plays:219	 pattern_win:0
Node:4 7	win_komis:213	 total_komis:877	 total_plays:14	 pattern_win:0
Node:4 8	win_komis:6454	 total_komis:12862	 total_plays:302	 pattern_win:0
Node:4 9	win_komis:2972	 total_komis:6372	 total_plays:133	 pattern_win:0
Node:4 10	win_komis:3248	 total_komis:6438	 total_plays:137	 pattern_win:0
Node:4 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:4 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:5 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:5 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:5 2	win_komis:7659	 total_komis:15353	 total_plays:352	 pattern_win:0
Node:5 3	win_komis:995	 total_komis:2513	 total_plays:42	 pattern_win:0
Node:5 4	win_komis:32432	 total_komis:60674	 total_plays:1287	 pattern_win:0
Node:5 5	win_komis:18155	 total_komis:34339	 total_plays:701	 pattern_win:0
Node:5 6	win_komis:163	 total_komis:779	 total_plays:21	 pattern_win:0
Node:5 7	win_komis:433295	 total_komis:786679	 total_plays:16313	 pattern_win:0
Node:5 8	win_komis:10345	 total_komis:20059	 total_plays:432	 pattern_win:0
Node:5 9	win_komis:613	 total_komis:1677	 total_plays:34	 pattern_win:0
Node:5 10	win_komis:21	 total_komis:475	 total_plays:8	 pattern_win:0
Node:5 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:5 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:6 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:6 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:6 2	win_komis:1697	 total_komis:3909	 total_plays:83	 pattern_win:0
Node:6 3	win_komis:1949	 total_komis:4329	 total_plays:84	 pattern_win:0
Node:6 4	win_komis:25874	 total_komis:49134	 total_plays:1017	 pattern_win:0
Node:6 5	win_komis:219	 total_komis:783	 total_plays:15	 pattern_win:0
Node:6 6	win_komis:283	 total_komis:1085	 total_plays:23	 pattern_win:0
Node:6 7	win_komis:22410	 total_komis:42180	 total_plays:883	 pattern_win:0
Node:6 8	win_komis:7221	 total_komis:14529	 total_plays:304	 pattern_win:0
Node:6 9	win_komis:145492	 total_komis:267954	 total_plays:5582	 pattern_win:0
Node:6 10	win_komis:3926	 total_komis:8354	 total_plays:164	 pattern_win:0
Node:6 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:6 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:7 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
